title,rating,user
"Succubus Shadows (Georgina Kincaid, #5)",it was amazing,1817343-christie
"Deadly Heat (Deadly, #2)",really liked it,1817343-christie
"Magic Slays (Kate Daniels, #5)",really liked it,1817343-christie
"The Sweetest Thing (Lucky Harbor, #2)",it was amazing,1817343-christie
"Barely a Lady (Drake's Rakes, #1)",really liked it,1817343-christie
"Dragonfly in Amber (Outlander, #2)",really liked it,1817343-christie
Invincible Summer,really liked it,1817343-christie
"A Man To Hold On To (Tallgrass, #2)",liked it,1817343-christie
Back When You Were Easier to Love,liked it,1817343-christie
"Bury the Living (The Revolutionary, #1)",really liked it,1817343-christie
"Wicked Intentions (Maiden Lane, #1)",really liked it,1817343-christie
Ballet Cat: The Totally Secret Secret,it was amazing,1817343-christie
"Burned (Fever, #7)",liked it,1817343-christie
A Well-Mannered Young Wolf,really liked it,1817343-christie
"Rock Addiction (Rock Kiss, #1)",liked it,1817343-christie
"Rock Hard (Rock Kiss, #2)",really liked it,1817343-christie
In Honor,liked it,1817343-christie
"Heart-Shaped Hack (Kate and Ian, #1)",it was amazing,1817343-christie
Just the Sexiest Man Alive,really liked it,1817343-christie
Dead Heat (Alpha & Omega #4),it was amazing,1817343-christie
Snow White and the 77 Dwarfs,really liked it,1817343-christie
The Winter People,liked it,1817343-christie
Who Will Dance with Little Mouse?,really liked it,1817343-christie
Weston,it was ok,1817343-christie
Meet the Emotions (Disney/Pixar Inside Out),it was amazing,1817343-christie
Extra Yarn (E. B. White Read-Aloud Award. Picture Books),it was amazing,1817343-christie
Still Alice,really liked it,1817343-christie
"Something Strange and Deadly (Something Strange and Deadly, #1)",it was ok,1817343-christie
"After Dead: What Came Next in the World of Sookie Stackhouse (Sookie Stackhouse, #13.5)",it was ok,1817343-christie
The Guernsey Literary and Potato Peel Pie Society,it was amazing,1817343-christie
The Chemist,really liked it,1817343-christie
"Virgins (Outlander, #0.5)",really liked it,1817343-christie
"My Lady Jane (The Lady Janies, #1)",really liked it,1817343-christie
Pete the Cat and His Magic Sunglasses,it was amazing,1817343-christie
"Frost Burned (Mercy Thompson, #7)",it was amazing,1817343-christie
"Thanksgiving on Thursday (Magic Tree House, #27)",really liked it,1817343-christie
123 versus ABC,really liked it,1817343-christie
